id	label	prediction	aggressive_probability	non-aggressive_probability	text
334		non-aggressive	0.113	0.887	JoedelaRosa why you no save me one
335		non-aggressive	0.02	0.98	I definitely broke my record for most times puking at work in one shift
336		non-aggressive	0.063	0.937	Epsc9Juan and skizzy Think Ive heard it
337		non-aggressive	0.053	0.947	Ryder better bring us our donuts tomorrow  Sweah tah gahd
338		non-aggressive	0.011	0.989	There is so much snow on the ground and we play marist in 11 days wherethatsunat melalready
339		non-aggressive	0.169	0.831	AlexusPotts is it them or could it be you or is it your expectations Either way change is bound to happen
340		non-aggressive	0.02	0.98	kbeamy ItzKingMundy omg I have another 07 was a good year httptcorAMdMSZXhs
341		non-aggressive	0.076	0.924	AintYouJay lol I cant stand yuyo girl made me mad today
342		non-aggressive	0.064	0.936	jlacexo cheer up pretty girl
343		non-aggressive	0.044	0.956	And its not even super fancy or exciting or anything Its just like a perfect chill day with the one you love amp no one else to bother you
344		non-aggressive	0.273	0.727	If you ever need some shit taken care of I gotchuuuu 😏👊
345		non-aggressive	0.041	0.959	I WILL PAY SOMEONE TO TAKE ME TO INDY TOMORROW AFTER SCHOOL
346		non-aggressive	0.178	0.822	The way I see it is if you get jealous when I hangout with your boyfriendyou must not be doing your job right
347		non-aggressive	0.186	0.814	Tweets like that is what gets you unfollowed
348		non-aggressive	0.066	0.934	PRESS RELEASE We still make that same beer we used to make
349		non-aggressive	0.044	0.956	therealvargas17 use to not at the moment 😂😂
350		non-aggressive	0.089	0.911	Like Im so used to being social but Ill be shy at first when it comes to people Ive never talked to before or know of but dont talk to
351		non-aggressive	0.118	0.882	AbbyBeschorner you needs to a side by side with that one picture lol
352		non-aggressive	0.037	0.963	I see a twitterbot EliteDaily Sad part is 3 people retweeted news thats already been debunked
353		non-aggressive	0.033	0.967	Sharing my serious girl crush on Shailene Woodley Srsly though be my BFF Case amp point httptcoq5RpKcwvb0 httptcoCLMmDtxEWH
354		non-aggressive	0.056	0.944	Imaginedragons 💞💕❤ Till next time httptcoctuq0Bqixh
355		non-aggressive	0.112	0.888	Meet your future Portland police officer D
356		non-aggressive	0.07	0.93	King size bed Im in heaven httptco7fKaoIz2Hh
357		non-aggressive	0.07	0.93	sameoldsong
358		non-aggressive	0.064	0.936	sleeplessziam can this be my lock screen
359		non-aggressive	0.032	0.968	20 seconds in and the Red Liners make it a 10 game 86 Dirk puts us on the board
360		non-aggressive	0.055	0.945	That just made my heart just drop
361		non-aggressive	0.032	0.968	I love quavy
362		non-aggressive	0.046	0.954	Crazy how we half way through the semester already
363		non-aggressive	0.21	0.79	I CANT stand when people are on their phone the whole time during a date Or even hanging out Like dont
364		non-aggressive	0.092	0.908	Holy shit I love this country man 😎🇺🇸🇺🇸 “GuysCodes Murica httptco0ZuuJheT8Z”
365		non-aggressive	0.076	0.924	missmagoo2513 she pregnantI think someone dropped her off she has had her babies  out side but I cant find them want2slip one in on dots
366		non-aggressive	0.066	0.934	Not saying Im in the mafia or anything butmaybeiam
367		non-aggressive	0.037	0.963	Life is too short to sit around ampmope over highschool In less than 2 months Ill be out of there amp on my way to bigger and better things
368		non-aggressive	0.066	0.934	elliecooper621 oh silly ellie
369		non-aggressive	0.034	0.966	Honestly just wanna take this ACT and that should be the end of my jr year👌
370		non-aggressive	0.046	0.954	“HorryPuttor wenevur ur feeleng down jus remembur that ur not an huffelpuff” lol yes I am 😐
371		non-aggressive	0.028	0.972	DMainy23 I am too bro but all I want to do is work out
372		non-aggressive	0.049	0.951	chelseaclapp Ive been wondering who Ill go with Sounds good to me 😊
373		non-aggressive	0.035	0.965	I miss the beach
374		non-aggressive	0.08	0.92	The Weeknd comforts me
375		non-aggressive	0.073	0.927	Booty had him like likeaboss715 httptcoSxXsMpGFrg
376		non-aggressive	0.07	0.93	Jeep
377		non-aggressive	0.061	0.939	daniinicole16 praying to Jesus
378		non-aggressive	0.055	0.945	rkkorte AndrewWasmer I meanyeah that pretty whale somes it up 😂🐳
379		non-aggressive	0.057	0.943	Kadia just enjoying us argue over her lmao
380		non-aggressive	0.039	0.961	Learing the true consequences of my selfish decisions
381		non-aggressive	0.031	0.969	Auburn let Shaquille Johnson go Hes playing Jucco Basketball That man has too much game to be playing Jucco
382		non-aggressive	0.033	0.967	GentlemanCodyTW TWBunnies yea I got to meet them after the show😊
383		non-aggressive	0.058	0.942	Road trip tomorrow 😍
384		non-aggressive	0.066	0.934	How long was boosie locked up anyway
385		non-aggressive	0.046	0.954	“liyahdesiree8 AlannaKathleen I love you😂😂😂” love you
386		non-aggressive	0.07	0.93	First person to favorite gets smoked out
387		non-aggressive	0.053	0.947	Im just hoping the Dj play DLow shuffle one time so I can get if outta my system lbvs
388		non-aggressive	0.029	0.971	One I pass my boardthinking on concentration on my gigs
389		non-aggressive	0.047	0.953	Deff looking forward to this weekend 😁☺️🎉
390		non-aggressive	0.049	0.951	becmcwilliams dylanobrien becca I love you
391		non-aggressive	0.1	0.9	Just eat some good Ass dinner im about lay down and watch some tv
392		non-aggressive	0.094	0.906	bandgod yes you do Lbs ✔️
393		non-aggressive	0.049	0.951	No new friends
394		non-aggressive	0.074	0.926	mmdgbartos RossJ BSchultz27 dirt bikehotwheelscar damons charger
395		non-aggressive	0.069	0.931	restless nights
396		non-aggressive	0.065	0.935	Dabum90 look two tweets in one day Im getting better twitter
397		non-aggressive	0.067	0.933	Choose a hotel in Koleen Indiana here httptco7rnNF9NyyK
398		non-aggressive	0.07	0.93	ARPOP
399		non-aggressive	0.057	0.943	Happy birthday GioVanniEra
400		non-aggressive	0.138	0.862	ryanmkristensen thats rude What about your roomies
401		non-aggressive	0.078	0.922	Im bored
402		non-aggressive	0.054	0.946	AlysaJulianne I thought we were going
403		non-aggressive	0.48	0.52	I tried with yo ass but you wanted to do you Now its a different story Stfu fucking jerk
404		non-aggressive	0.059	0.941	allyheartsyouu Happy Birthday Homie 😎🎁🎉🎈
405		non-aggressive	0.059	0.941	Some things are better left unsaid
406		non-aggressive	0.043	0.957	All we do when we hangout is eat partylife yolo httptcoSppUnuk0VN
407		non-aggressive	0.033	0.967	Thank god Cops is on because theres absolutely nothing else to watch
408		non-aggressive	0.114	0.886	HarrisonWells just got done having deep talks with my best bro Im bound to go on a rant haha sorry man Im just seeing shit clear rn
409		non-aggressive	0.086	0.914	BrooklynRenea as did you Slut
410		non-aggressive	0.082	0.918	TheOtherNWord you seem to be taking twitter vents too hard
411		non-aggressive	0.127	0.873	If you like Kingdom Hearts soulmates 4L
412		non-aggressive	0.03	0.97	GWSunshine27 lmao I can just see it now jazz hands
413		non-aggressive	0.068	0.932	NW Hey Arnold
414		non-aggressive	0.037	0.963	leXxb3rries we could always hit up the mount morris graveyard this summer lmao
415		non-aggressive	0.081	0.919	Why arent you my girlfriend
416		non-aggressive	0.077	0.923	I did not hangout with anyone this break unless you count Margi
417		non-aggressive	0.131	0.869	ill meet you in the middle like its goin out of style
418		non-aggressive	0.125	0.875	BrittanyNacolle Tf was you lookin at earlier mf
419		non-aggressive	0.037	0.963	Heres to the kids who have had their heart broken by someone they werent even dating
420		non-aggressive	0.041	0.959	Theres No Weakness In Forgiveness
421		non-aggressive	0.072	0.928	Who think this true😂 httptcogxb0C3J1xe
422		non-aggressive	0.227	0.773	Like just say the persons name in a tweet I hate when people say oomf himher when talking about someone But maybe thats bc Im nosy
423		non-aggressive	0.045	0.955	EmilyLauren4 haha just wanted to show my appreciation for your word choice
424		non-aggressive	0.044	0.956	“btomassetti Metaphorically Diana just poured gasoline on me and set me on fire about my life mylife” 🔥🔥🔥🔥🔥
425		non-aggressive	0.102	0.898	Me And Malik Over Here Dead Dawg
426		non-aggressive	0.088	0.912	Um capri length skirted leggings Dear God Ive died and gone to Hell smh
427		non-aggressive	0.109	0.891	JohnnaayyBoyy lmao who are you 🙆☺
428		non-aggressive	0.041	0.959	Geez Im so lucky to be apart of a great sisterhood zta 👑👑 obsessed
429		non-aggressive	0.027	0.973	This Chicago let it go parody has me in tears httptcoW53J4gEAUX
430		non-aggressive	0.066	0.934	jelyse96 kmpostin whats coming out of the rear end
431		non-aggressive	0.073	0.927	kaileecheek cheer up big booty
432		non-aggressive	0.117	0.883	You know what I hate 😡  being in my feelings Jo 😤
433		non-aggressive	0.079	0.921	meisternicole Breezy3 ETisthename an astonishing amount httptcoacYMVEl4aq
434		non-aggressive	0.049	0.951	BayleeeeeNicole you said you didnt know so I assumed you couldnt
435		non-aggressive	0.036	0.964	Im just hoping the Dj play DLow shuffle one time so I can get of outta my system lbvs
436		non-aggressive	0.086	0.914	Most of us have the same goals Im just trying to get there faster
437		non-aggressive	0.194	0.806	Im like not even tired This is a problem
438		non-aggressive	0.067	0.933	Happy birthdayyyyy mollyjune17 🎀💖
439		non-aggressive	0.052	0.948	You look at the negative side of everything
440		non-aggressive	0.132	0.868	Basic hoes ✋✋ move around
441		non-aggressive	0.029	0.971	LandaXOXO we a power team ✊🍑 lmao I love our butts cause they perky af 😩😂😂
442		non-aggressive	0.052	0.948	ndeaj your just so tough on twitter
443		aggressive	0.604	0.396	If you dont fuck with KFlum s music youre missin out
444		non-aggressive	0.051	0.949	Im so irritated lol
445		non-aggressive	0.076	0.924	I honestly just want to spoil you
446		non-aggressive	0.078	0.922	Everything you want to know about HoffmanEstates Illinois here httptcosZJkVkwmbr
447		non-aggressive	0.054	0.946	When the light hits it just right you can see all the scars and broken pieces Confused
448		non-aggressive	0.046	0.954	Ive been pretty depressed all week Tyler noticed and got me a huge basket of chocolate Hes the best
449		non-aggressive	0.053	0.947	CamilleVicino lilstephyy326 DoctorBuzzFeed 10 Were being watched😳
450		non-aggressive	0.071	0.929	This Guy Looking Weird Hahah 🙈😳🙈 httptcoEOsNiAOCMg
451		non-aggressive	0.058	0.942	Sheanna Is Bored
452		non-aggressive	0.096	0.904	therealvargas17 hell naw lol what you on vargy smalls
453		non-aggressive	0.07	0.93	TYTheRReport FF exhibitce399 lesliemuse havewhatusay elegantdame felicianista unlewis Stellabystarlit  markspellun
454		non-aggressive	0.071	0.929	FAYBEEN FREE TILIKUM
455		non-aggressive	0.083	0.917	inkdsamm make yourself busy lmao
456		non-aggressive	0.051	0.949	JpShotz MajManiak zPaaKi major let them sneak past a report on us while waited to cancel
457		non-aggressive	0.04	0.96	3 months and Ill never have these feelings again
458		non-aggressive	0.072	0.928	RobMeshew she got the whole only black person in a horror movie thing going thats not my problem tho sacrifices have to be made
459		non-aggressive	0.043	0.957	emileighkay11 Hard yes Lets go 😂😍🙈
460		non-aggressive	0.146	0.854	“TallGlassofDee Once I get my shit together Ill be good 💯💯”
461		non-aggressive	0.098	0.902	Up typing this essay thay was due like a month agoo 😂😂😡😡😫😫
462		non-aggressive	0.045	0.955	Ugh I just want to sleep 😒😴
463		non-aggressive	0.036	0.964	AlysaJulianne I mean I will prolly be able to not 1000 percent sure fag
464		non-aggressive	0.01	0.99	My perfect morning would be getting on twitter and not having to scroll through 3000 of Alec tweets from that night
465		non-aggressive	0.037	0.963	kbeamy ItzKingMundy I cropped the wheelchair out not only to zoom in on the face but not make you look so Yea haha love you 😘
466		non-aggressive	0.152	0.848	I dont like people who just receive and never give poof no friend of mine
467		non-aggressive	0.027	0.973	MzImDaShyt I think kiera looking for an iphone to buy write her on ig
468		non-aggressive	0.019	0.981	Epsc9Juan yea homie listen to the skizzy remix its dope but yea good song
469		non-aggressive	0.096	0.904	OH cant eat meat tmrw OH looks like Im eating either a falafel samich or SHRIMP TACOS FROM DEL SEOUL
470		non-aggressive	0.072	0.928	RSherman25 ZachMcAdam18 sure do intercept a lot
471		non-aggressive	0.098	0.902	Jswift39 CandoMireles giordanos got the best pizza nigga
472		aggressive	0.751	0.249	Tiney bitch ass didnt call me bck its ok im see you tomorrow hoe lol
473		non-aggressive	0.034	0.966	Its times like this I remember why Im in love with her so much Thank you for being you ladygaga ❤️
474		non-aggressive	0.072	0.928	I Can Stalk 🔪🙋Flirt 😘Sweat 💁💦 Over Him Cause That Mines 🔐😘💑💯
475		non-aggressive	0.067	0.933	selfmade600 xbox live
476		non-aggressive	0.041	0.959	And I got my cousin but hes embarrassed to be seen with me that little asshole
477		non-aggressive	0.03	0.97	Why yes it is midnight And am I packed Of course not WorstPackerEver RightHere WorkingForDayzz
478		non-aggressive	0.087	0.913	Judge me fools
479		non-aggressive	0.058	0.942	The little things actually matter sometimes
480		non-aggressive	0.193	0.807	Id like it if you stayed
481		non-aggressive	0.062	0.938	CEO of Outfit Judge with Avantgarde models  Gallery Bar httptcoV6v5k9v0SD
482		non-aggressive	0.043	0.957	Sheanna Is Tired But cant go To Sleep
483		non-aggressive	0.036	0.964	BadBitchCrazy nah  she was back 10hrs later it was funny cuz i never got dumped
484		non-aggressive	0.047	0.953	Momma aint got nothing going on manana Driving to school Baby steps Austin Lol
485		non-aggressive	0.043	0.957	Im 19 in indianapolis That counts 😝
486		non-aggressive	0.073	0.927	Humble with a little bit of cocky 💸
487		non-aggressive	0.026	0.974	I hope I sleep better tonight then I did last night 😓
488		non-aggressive	0.048	0.952	Break away from everybody break away from everything 🎶
489		non-aggressive	0.054	0.946	Just clean my room n washroom cuz some midget is staying over my house lmbo nunez54
490		non-aggressive	0.047	0.953	“kushedkate turn up before bed ayy lmao httptcodfEBc2kvu9” I need that 😭
491		non-aggressive	0.125	0.875	BrooklynRenea 😉 are you going to hmu anytime Or nah
492		non-aggressive	0.052	0.948	An artist forever ladygaga is truly inspiring BarfArt is so quiche BoldStage
