id	label	prediction	aggressive_probability	non-aggressive_probability	text
310		non-aggressive	0.021	0.979	Every day I look forward to Florida with my fav a little more I cant wait to just take a break from life alissarod1 stressed
311		non-aggressive	0.03	0.97	Elk Grove CEO charged with defrauding investors of 9 million Gregory Webb CEO of InfrAegis Inc which has httptcolxVSyfOgAo
312		non-aggressive	0.051	0.949	US stocks push further into record territory US stocks on Friday pushed further into record territory httptcoVAEZZfEJW7
313		non-aggressive	0.042	0.958	instinctmag Great article on Keith Stryker  alc2014
314		non-aggressive	0.041	0.959	MSUs Dawson to return for Illinois game As if Illinois needs another obstacle at Michigan State httptco6siXd9oD1Y
315		non-aggressive	0.056	0.944	Wears cutoff in the middle of winter TFM totalfratmove earndatdough httptcooRgRAuM1pv
316		non-aggressive	0.053	0.947	Tom Thibodeau ‘is not going anywhere’ It might have been a nice gesture or at least a reassuring one but Tom httptcoR2HAG3Z3ab
317		non-aggressive	0.033	0.967	Initiation day for White Sox newcomers GLENDALE Ariz – At least three new players will make their White Sox httptcocFexWWSjWu
318		non-aggressive	0.018	0.982	Back in Chiberia homesweethome  Chicago OHare International Airport ORD w 193 others httpstcoDloV6RlfBb
319		non-aggressive	0.021	0.979	Kanye at the Margiela show is my new source of entertainment
320		non-aggressive	0.087	0.913	jcreech3 BBAnimals now Im blushing
321		non-aggressive	0.064	0.936	Lunch with mama😍😛  Eataly Chicago httptcoE3pnaQ30Xt
322		non-aggressive	0.055	0.945	11KOLoso1 I knew they were scared because they were looking back Smh
323		non-aggressive	0.027	0.973	everybody wish kitty good luck at her doctors appointment tomorrow morning amp say a little prayer 🐱 httptco2Kc6wvJFEV
324		non-aggressive	0.225	0.775	If you dont have a long way to go your goal isnt high enough
325		non-aggressive	0.044	0.956	LMFAOOO TheLakeShOwKinG Store front churches have the best praise Breaks facts
326		non-aggressive	0.057	0.943	Survival19946 woooooooow the deranged phycho strikes again
327		non-aggressive	0.12	0.88	But ya booty dont need explaininnnnn
328		non-aggressive	0.044	0.956	Lets just say I stopped making moves
329		non-aggressive	0.045	0.955	Its funny how everyone looks good with the lights off
330		non-aggressive	0.448	0.552	Keep it real with my niggas keep it player for these hoes
331		non-aggressive	0.009	0.991	song of the day i feel so by box car racer 🎶
332		non-aggressive	0.045	0.955	If i get 20 retweets ShelbaaayDawson will go to prom with me next year
333		non-aggressive	0.098	0.902	Allisonpaige3 caitlynnjamison so are you like happy staticor like hair static😳
334		non-aggressive	0.069	0.931	Rochester bound
335		non-aggressive	0.053	0.947	I just want to get work over with already
336		non-aggressive	0.298	0.702	Ugh I should not be wasting a trip to Tinley to get cigs Im gas less fuck
337		non-aggressive	0.048	0.952	My soul will have to wait
338		non-aggressive	0.036	0.964	khovelsrud sav for st pattys is not an option We have to recover with shes the man its tradition Like green and bad decisions
339		non-aggressive	0.064	0.936	PMillaaa spudweiser hahahaha im dying at that tweet BitchesLoveStunners
340		non-aggressive	0.031	0.969	Cheezborger looking forward to meeting the goat next summer Chicago ChooseChicago httptco5ecJe1mifb
341		non-aggressive	0.032	0.968	Who doesnt want great hair this weekend for their Oscars2014 party Book now blownaway
342		non-aggressive	0.07	0.93	Allisonpaige3 caitlynnjamison GeneralReading
343		non-aggressive	0.034	0.966	Wow I saw basement hoodie boys face today and now Im regretting not talking to him he was so cute
344		non-aggressive	0.038	0.962	No lie tho lol
345		non-aggressive	0.079	0.921	Whatre you selling today shipsahoy12 Doasdaledoes justinsween
346		non-aggressive	0.072	0.928	RobertoDeAvila I cant do that if I wanna have children in the future lol
347		non-aggressive	0.059	0.941	“Eating Krispy Kreme donuts httptcoaMty5vfvJc” I need you now😍😋🍩🍩
348		non-aggressive	0.111	0.889	Rocko  Blessing  Has taught me a lot  about blessings Rocko more then a Rapper
349		non-aggressive	0.032	0.968	I think ima sleep my Friday away 👌
350		non-aggressive	0.026	0.974	First thing I wanna do for spring break nap
351		non-aggressive	0.074	0.926	Truth httptcoOcSnVA4TOH
352		non-aggressive	0.063	0.937	Too close  Next
353		non-aggressive	0.068	0.932	Class 😒😒
354		non-aggressive	0.064	0.936	Men the clock on your sperm is ticking
355		non-aggressive	0.07	0.93	Stoneypatrick lol Be real
356		non-aggressive	0.053	0.947	asdfghjklclaire Im at school hmu
357		non-aggressive	0.164	0.836	mariawassups Ill def still like you
358		non-aggressive	0.124	0.876	lezlyefoster see something you like or sumn
359		non-aggressive	0.055	0.945	This tea right now gtgtgtgt
360		non-aggressive	0.116	0.884	“DuhhAmbitious Cuddy You Ready For The Big Bash For Prince 🙊🙈 EATMEBiTCHES”yes Im trying get in contact with janic
361		non-aggressive	0.018	0.982	Spending the day with Mrs LucasNoe and her Kindergarteners at Clear Lake was probably one of my best ideas ever bestday lovethesekids ☺️
362		non-aggressive	0.021	0.979	I know two people in my life who will probably never get the chance to meet but would be perfect for eachother
363		non-aggressive	0.063	0.937	Having class after this is not ideal 😒
364		non-aggressive	0.026	0.974	First tweet I see lol but thats true tho lol
365		non-aggressive	0.022	0.978	“1000Watts7 kaitgruenewald good luck homie” thanks
366		non-aggressive	0.027	0.973	I just really need Panda Express in my life again
367		non-aggressive	0.043	0.957	ezeybahena IsaiahPerry94  hoodie allen is pretty much the greatesr person ever HoodieAllen httptcoXrxC2PQRNv
368		non-aggressive	0.064	0.936	Stealx BradNolan DonaldGlover ahhh lame Its Q
369		non-aggressive	0.051	0.949	Summer in Oaxacanot a bad idea D
370		non-aggressive	0.056	0.944	OH Then youre trapped in a room with a zombie Thanks Obama  You can tweet that by the way
371		non-aggressive	0.029	0.971	Ready for 12hours of tracking with The Lucky Dutch httptcoLrOpcT2H9V
372		non-aggressive	0.095	0.905	That moment when you cant go to the gym because you left your gym bag in your moms car😔😑
373		non-aggressive	0.063	0.937	Sex and the Citygtgtgt
374		non-aggressive	0.056	0.944	TreyGetsIt sim54gar AaronLeming For sure Im not saying a S can have impact like good dline But it applies the other way too Have a
375		non-aggressive	0.059	0.941	gregcitywinery watch in the bathroom
376		non-aggressive	0.053	0.947	Michael Cera will always look like hes 16
377		non-aggressive	0.027	0.973	I really miss being in my babys arms
378		non-aggressive	0.104	0.896	ALLdaCOOKIEz are you in JobCorp
379		non-aggressive	0.082	0.918	DumbBars u right time to hit up xsport nodaysoff
380		non-aggressive	0.048	0.952	Mercury Retrograde ends today
381		non-aggressive	0.059	0.941	Yall just dont know how excited I am about this thisISwhat62LOOKSlike legendary PatCleveland… httptcoPtXNUoPHZ3
382		non-aggressive	0.056	0.944	Kortney Bri and I just ate lemon pie  strawberry cheesecake  carmel cheesecake  raspberry cheesecake a cannoli  and nut cheesecake fat
383		non-aggressive	0.055	0.945	“QyleKuigley Miss baseball”
384		non-aggressive	0.089	0.911	OfficialMAWC411  They better be
385		non-aggressive	0.03	0.97	MarianosMarket waiting patiently for the Alsip location to open The suspense is killing me I need to start earning vino rewards 💀🍷
386		non-aggressive	0.067	0.933	UneAnnee BeesNuts SpitefulBrewing OffcolorBrewing pleasure was ours
387		non-aggressive	0.048	0.952	essentialmix ready for this
388		non-aggressive	0.078	0.922	Since like the summer
389		non-aggressive	0.182	0.818	This Lame Ass Rap Music They Listening Too
390		non-aggressive	0.053	0.947	Idk wat I wanna eat 😒
391		non-aggressive	0.157	0.843	If the dick dont come with the head ion want it 💯
392		non-aggressive	0.057	0.943	Its the weekend Lets get weird
393		non-aggressive	0.182	0.818	A hoe gone be a hoe regardless
394		non-aggressive	0.057	0.943	Shout Out To My Mommaa💃❤️
395		non-aggressive	0.05	0.95	My parents just told me they have a big surprise for me for my birthday 😁🙈🙉🙊
396		non-aggressive	0.082	0.918	TreyGetsIt sim54gar AaronLeming awful d line and your safety gets exposed We havent had once since Brown and before that forever
397		non-aggressive	0.074	0.926	I wish you understood
398		non-aggressive	0.064	0.936	Donttrustnohoe 😶 it was a joke
399		non-aggressive	0.197	0.803	Being called a lazy ass lol
400		non-aggressive	0.166	0.834	“rosesandtea Just remember you probably wont like the taste of your own medicine”
401		non-aggressive	0.105	0.895	Lianyix3 are you in JobCorp
402		non-aggressive	0.023	0.977	I think Im too nice for my own good
403		non-aggressive	0.027	0.973	jusstKatelyn duh I know how to spell my bestfriends last name
404		non-aggressive	0.043	0.957	Todays Thai LunchFried Rice Tofu Pad Thai Orange Chicken Silom12 TheMart  silom 12 express httptco54alDWUQQy
405		non-aggressive	0.04	0.96	jeffhodges3 ight Ill probably sleep till lie 930
406		non-aggressive	0.065	0.935	Tired isnt the word 💤😞
407		non-aggressive	0.048	0.952	Dr Christopher Lynch of Carthage College speaking on Machiavellis Art of War pritzkerlibrary … httptcowtId5McHNE
408		non-aggressive	0.054	0.946	GodDamnGram Lmaooo Just kidding
409		non-aggressive	0.07	0.93	Road head to whoever gets me to Iowa 😩
410		non-aggressive	0.059	0.941	Youre crazy amp Im out of my mind
411		non-aggressive	0.08	0.92	Your face is all that I see Ill give you everything Baby love me lights out Baby love me lights out You can turn my lights out
412		non-aggressive	0.125	0.875	lezlyefoster nono  dont play dumb I soooo seen you starring Lol 😼
413		non-aggressive	0.155	0.845	I cant stand when people complain constantly Stfu👊
414		non-aggressive	0.044	0.956	Cant wait to eat this  Ginos East httptcoGJrG8jNGrL
415		non-aggressive	0.282	0.718	Seeing shit you didnt want to see that stops in your tracks lt
416		non-aggressive	0.068	0.932	St Lewis bound thetagras
417		non-aggressive	0.081	0.919	sheepishmike obviously same
418		non-aggressive	0.156	0.844	Whats a good radio station if I wanna listen to some hood shit ProckRocket41
419		non-aggressive	0.059	0.941	I wish Mr Gappa would just stop talking 😩
420		non-aggressive	0.039	0.961	shirtnsleeve graceekendall its pink Floyd I believe
421		non-aggressive	0.182	0.818	I research shit before I do it
422		aggressive	0.586	0.414	Bitches be on instgran posting pictures of themselves in the hospital  Bitch you aint that sick if you got time to take pictures
423		non-aggressive	0.139	0.861	DETROITCCAD can you explain the baker game like what is different
424		non-aggressive	0.077	0.923	Girls with Gages and tattoos Hell yeah😍😏❤
425		non-aggressive	0.028	0.972	do I turn in this check for prom or naaah
426		non-aggressive	0.046	0.954	johannablonde 1215PM CT Hej gt you look perhaps coldsnowy down there  just moments before landing at OHare ⛄️ httptcovo0E4aOVbQ
427		non-aggressive	0.178	0.822	“EinsteinParody My high ass IQ make you feel some type of way” harrieli659
428		non-aggressive	0.033	0.967	I wish I had a blunt rn
429		non-aggressive	0.031	0.969	Chicago I am inside of you and it feels good
430		non-aggressive	0.03	0.97	Shan Brooke and I are laying in the senior bay if anyone wants to come cuddle
431		non-aggressive	0.097	0.903	Angola seriously needs a Martins
432		non-aggressive	0.029	0.971	queenyasmeeen I think its a generational thing Our time is coming soon though inshallah
433		non-aggressive	0.037	0.963	I could actually use a toke to relieve the pain in my body SoreAsABitch
434		non-aggressive	0.067	0.933	LOVEAddiicted Bestie shut up im in class
435		non-aggressive	0.03	0.97	No 😒 Im not cold My car house and school has heat
436		non-aggressive	0.028	0.972	The kisses we shared the other night were heavenly When Im with you I feel like everything is okay and Im in heaven
437		non-aggressive	0.054	0.946	mcmichalmaster let me see dat cute booty soon Shawty 😉
438		non-aggressive	0.057	0.943	“SarcasmBeatsAll Im not fat  Im just easy to see” BigBitch278 😂
439		non-aggressive	0.084	0.916	That doesnt make any seance
440		non-aggressive	0.254	0.746	Cassandra such a hating ass hoe lmao
441		non-aggressive	0.05	0.95	Louka bit a hole in my sprite httptcoYR7x50K8Up
442		non-aggressive	0.074	0.926	poomiepuma peakpeaks rubberfreak  Yeah Id be up for that
443		non-aggressive	0.027	0.973	sim54gar Exactly We agree Peppers gt Bennett right Even today Id say that anyway Peppers had less sacks nobody next to him amp more
444		non-aggressive	0.116	0.884	otfaasha Shaq be locked up more den Bebe 😂😩 Free dat man
445		non-aggressive	0.018	0.982	Today I love the world
446		non-aggressive	0.114	0.886	colleen merkel how are you
447		non-aggressive	0.05	0.95	thedagemahal the one on Harlem yeah
448		non-aggressive	0.061	0.939	“cybermaddie life just keeps getting darker httptcoCnYuK6NakT”
449		non-aggressive	0.038	0.962	I have so much I want to tell you and nowhere to begin
450		non-aggressive	0.073	0.927	TonyRomero42 sydkid1 HeyJessayyyy when she says baby
451		non-aggressive	0.12	0.88	royallichter are you still writing
452		non-aggressive	0.087	0.913	Bestie be in ha feelings Keep Calm
453		non-aggressive	0.051	0.949	I keep almost referring myself to being 20 years old  whoops 21
454		non-aggressive	0.085	0.915	milantierra bring me coffee Ill love you eternally
455		non-aggressive	0.069	0.931	Always Strive And Prosper
456		non-aggressive	0.122	0.878	Do not try to add years to your life but rather try to add life to your years Oscar Wilde
457		non-aggressive	0.045	0.955	We love who we love and we wanna have fun
458		non-aggressive	0.013	0.987	Im at Wildberry Pancakes amp Cafe Chicago IL w 4 others httptco2DsZ01o0Be
459		non-aggressive	0.146	0.854	Dont need ur bs 👋👋
460		non-aggressive	0.104	0.896	Skipping class like a thug 😎
461		non-aggressive	0.101	0.899	Seriously can not see you two together 😯
462		non-aggressive	0.049	0.951	IS IT NORMAL TO BE THIS HAPPY❓
463		non-aggressive	0.031	0.969	All love is  Is Chemistry nd We got eachother Forumla To make the perfect love 😍😘💏💑
464		non-aggressive	0.073	0.927	CassidyIsMiley your avi is so pretty👌☺️💁
465		non-aggressive	0.071	0.929	This cold weather need to stop 👊🙎
466		non-aggressive	0.253	0.747	😭😭😭😭 RobertSallee “DivaChemist42 I hate yall but I laughed “TheFitGawd fuck is a Lupita Sounds like a bad rash”” Lmao
